new_figure,previous_figure,content
Figure S1,Figure S1,Legacy structure-screen audit
Figure S2,Figure S2,Legacy cysteine-distance sensitivity
Figure S3,Figure S5,Exploratory residual-specificity ranking
Figure S4,Figure S6,NTF2-like paralog replication
Figure S5,Figure S7,AlphaFold-Multimer negative triage
Figure S6,Figure S8,NTF2-like phylogeny and accession residues
Figure S7,Figure S9,NTF2-like domain and confidence context
Figure S8,Figure S10,Matched-background balance diagnostics
Figure S9,Figure S11,Family non-independence and matched-pair sensitivity
